crop,state,rainfall_mm,temperature_c,soil_moisture_pct,soil_ph,fertilizer_kg_ha,farm_size_ha,yield_tons_ha
groundnut,Karnataka,793.7,28.2,30.8,6.03,105.5,2.18,3.224
maize,AP,1263.4,32.1,65.7,6.22,166.5,1.2,12.495
groundnut,Karnataka,1120.7,28.4,57.6,5.52,116.0,8.32,3.767
soybean,AP,623.9,27.0,51.3,7.41,120.3,9.83,4.163
rice,Karnataka,1454.7,34.2,79.8,6.08,196.1,3.34,12.346
tomato,AP,945.3,22.1,68.1,5.89,224.4,5.55,59.181
cotton,Karnataka,635.3,31.3,53.3,7.94,123.8,8.74,3.37
maize,AP,750.0,28.7,43.1,6.84,176.2,10.36,9.925
soybean,Telangana,814.4,24.5,51.4,6.8,114.8,4.82,4.594
soybean,Punjab,1116.1,27.6,48.1,6.67,100.5,10.25,4.839
maize,Karnataka,1291.6,31.8,33.2,5.91,169.4,8.47,10.655
cotton,Maharashtra,705.4,27.1,35.6,7.52,129.5,1.72,3.233
tomato,AP,717.3,28.7,42.8,5.72,227.0,8.93,49.262
tomato,Punjab,680.2,26.5,68.8,6.22,206.7,4.11,55.776
cotton,MP,1043.4,25.2,36.5,6.94,84.5,2.2,3.879
tomato,Punjab,1169.7,22.5,42.3,5.93,280.3,14.47,64.458
maize,Karnataka,1469.9,20.6,84.6,6.87,172.8,1.57,13.866
wheat,Telangana,573.4,14.4,51.1,7.49,149.7,11.19,5.89
cotton,Punjab,1462.8,25.9,48.5,6.79,88.5,2.96,4.267
maize,AP,765.9,25.4,31.8,6.11,165.3,4.56,9.635
tomato,Punjab,882.2,21.3,81.7,5.7,161.4,6.54,53.292
wheat,MP,1092.9,10.7,74.6,6.04,117.6,14.82,7.805
rice,Maharashtra,1513.0,27.0,76.1,6.95,184.2,7.3,11.744
soybean,MP,1222.5,26.4,62.2,7.12,143.9,11.03,5.244
wheat,AP,702.3,13.6,45.1,6.31,105.1,3.5,6.396
wheat,Punjab,614.9,10.3,75.7,6.75,127.6,4.96,7.262
rice,MP,1961.6,23.1,56.4,6.69,159.0,6.6,12.852
cotton,Maharashtra,1412.8,34.3,65.0,7.96,128.6,8.54,4.284
cotton,AP,913.4,32.7,64.2,7.57,111.7,13.0,3.691
maize,Punjab,959.1,34.7,64.8,6.39,152.9,3.98,11.407
cotton,Telangana,1014.1,33.8,39.9,6.8,135.8,10.6,4.378
cotton,Karnataka,1475.8,34.0,49.0,6.45,145.7,5.54,5.245
groundnut,Karnataka,884.1,31.9,37.1,6.03,113.7,5.29,3.269
soybean,Telangana,1219.0,26.1,30.1,6.24,106.4,13.09,4.567
rice,Maharashtra,1021.4,24.7,64.0,6.06,148.5,5.85,10.13
groundnut,Maharashtra,676.7,34.3,59.3,6.84,90.7,2.05,3.288
wheat,MP,826.1,13.6,31.1,6.4,117.7,5.17,6.262
maize,Telangana,1390.5,28.9,57.4,6.61,198.9,1.76,13.055
soybean,MP,1128.2,28.9,45.6,6.65,88.9,5.76,4.904
cotton,Karnataka,897.3,39.0,50.1,6.02,98.0,7.57,4.058
groundnut,Maharashtra,561.5,35.5,32.8,5.58,110.5,0.76,2.725
cotton,Punjab,604.8,39.6,75.1,6.98,137.8,10.92,4.225
cotton,AP,852.0,36.5,53.4,6.37,105.9,7.86,3.972
wheat,MP,630.9,18.7,59.3,6.23,128.1,1.25,6.73
wheat,AP,838.9,18.2,34.8,6.3,148.5,2.51,7.71
cotton,MP,696.0,37.8,81.3,7.49,112.7,14.87,3.589
wheat,Punjab,703.4,23.9,73.0,7.08,84.8,12.51,6.602
cotton,Karnataka,767.8,28.5,47.4,7.27,152.6,9.03,3.971
wheat,MP,1119.7,19.4,61.8,6.81,123.9,5.65,8.112
tomato,Maharashtra,834.3,23.2,68.2,6.0,259.6,2.92,57.035
soybean,Karnataka,1045.9,28.9,71.4,6.86,149.8,10.75,5.514
maize,MP,1214.1,27.4,59.5,6.71,130.3,5.99,11.271
tomato,Punjab,717.8,27.6,69.7,5.72,184.4,10.94,52.817
maize,AP,751.8,25.2,62.1,6.02,210.8,6.31,11.268
soybean,AP,1452.6,21.8,63.6,6.88,115.4,0.76,5.951
tomato,AP,1017.0,22.5,35.7,5.6,161.6,12.69,45.571
cotton,Telangana,701.9,39.8,80.6,7.68,90.0,13.11,3.809
tomato,Telangana,995.4,20.5,36.3,6.68,240.6,6.51,59.249
wheat,Maharashtra,1138.4,17.0,62.3,6.72,171.8,0.98,8.833
rice,Punjab,1302.7,33.9,64.8,6.04,158.1,0.69,10.609
tomato,Telangana,542.4,29.5,34.7,5.72,212.2,14.95,48.283
tomato,MP,1000.0,20.5,40.5,6.85,180.8,1.03,51.751
groundnut,Maharashtra,546.0,35.1,54.2,6.18,91.5,6.31,2.946
rice,Karnataka,890.6,31.8,59.0,5.91,189.7,12.11,9.566
soybean,Punjab,1355.8,30.4,44.0,6.61,118.6,3.34,5.877
rice,Karnataka,1014.3,30.5,43.4,5.86,109.9,10.97,7.85
groundnut,Maharashtra,1173.9,37.3,47.8,5.71,84.4,1.76,3.561
tomato,Maharashtra,498.2,28.5,80.1,6.46,255.6,9.56,64.154
cotton,AP,1342.6,30.4,49.0,6.07,146.5,11.72,4.985
cotton,Punjab,1477.1,36.7,84.2,6.23,125.3,7.33,5.471
rice,AP,827.0,25.5,44.2,6.31,163.3,2.52,8.514
soybean,Karnataka,616.6,31.0,45.1,6.18,120.4,8.54,4.184
rice,MP,1795.7,24.7,79.5,5.52,113.7,13.17,10.995
rice,Karnataka,1010.4,33.9,58.5,6.13,138.3,1.18,9.75
maize,MP,1238.0,21.2,51.4,6.52,144.5,4.69,11.92
soybean,Maharashtra,1454.4,24.8,56.6,7.43,89.5,4.41,4.479
soybean,Punjab,745.8,30.1,38.5,7.27,146.9,9.54,3.709
rice,Telangana,1394.6,30.9,75.1,6.15,124.6,12.09,10.56
maize,Maharashtra,772.1,28.9,80.5,6.23,129.2,2.48,10.344
soybean,Punjab,1087.7,30.5,66.2,7.1,136.5,10.54,5.299
groundnut,Telangana,1132.4,33.4,66.8,6.54,63.1,1.14,3.691
soybean,MP,708.5,28.8,53.2,6.29,88.1,12.03,4.742
soybean,MP,649.4,25.5,65.8,6.78,125.1,5.79,4.479
cotton,Karnataka,1077.2,31.6,74.2,6.81,125.8,8.31,5.286
groundnut,Telangana,1016.5,31.8,53.0,6.14,112.6,7.2,3.737
cotton,Maharashtra,1498.1,30.3,56.4,7.53,112.2,9.6,4.075
maize,Telangana,1268.3,26.3,43.1,6.31,193.8,2.1,11.479
maize,AP,733.6,20.6,53.5,5.82,218.8,6.07,9.761
maize,Punjab,1456.4,32.0,84.0,6.11,178.9,13.32,14.142
wheat,Telangana,994.7,11.0,42.7,6.6,163.8,12.54,7.885
groundnut,AP,532.9,30.0,75.4,5.56,117.4,12.11,3.025
rice,Maharashtra,1516.7,28.8,57.0,5.89,151.5,14.95,10.662
cotton,Maharashtra,802.0,28.4,61.9,7.07,127.4,1.83,3.998
maize,Karnataka,1388.7,34.3,66.0,6.83,201.0,8.49,13.551
cotton,AP,967.6,30.6,57.3,6.52,137.9,1.68,4.836
tomato,Karnataka,1081.0,23.9,75.4,6.22,238.9,5.54,66.561
wheat,Maharashtra,1091.6,21.0,43.5,6.78,166.8,2.78,7.901
tomato,Telangana,1144.1,19.3,78.5,6.55,178.4,14.44,63.3
rice,Maharashtra,1854.9,22.1,80.0,6.73,122.9,0.52,12.917
maize,AP,787.0,29.3,44.3,6.98,183.2,9.69,9.897
tomato,Maharashtra,502.8,21.4,76.2,5.53,214.8,6.19,49.049
groundnut,Punjab,621.6,35.0,72.4,6.92,70.0,10.77,3.102
groundnut,Telangana,540.5,26.0,67.2,6.78,119.4,6.97,3.742
maize,Karnataka,522.1,24.9,67.6,6.39,197.0,6.97,11.357
groundnut,AP,1198.0,30.5,73.7,6.18,69.8,10.56,4.141
cotton,Maharashtra,1455.8,27.3,53.1,6.86,155.5,9.76,5.453
groundnut,Maharashtra,692.0,37.8,42.6,6.11,113.6,3.59,3.263
maize,AP,1364.4,27.1,77.8,6.96,138.6,11.76,11.966
soybean,Maharashtra,1360.3,29.1,31.8,6.94,89.2,13.85,4.765
rice,MP,940.8,23.6,41.0,6.53,143.0,7.63,9.189
soybean,MP,1123.8,23.2,55.0,7.2,101.7,0.67,4.499
groundnut,MP,704.2,34.0,32.2,6.79,106.8,7.47,3.042
rice,Telangana,923.4,29.4,41.6,5.53,148.2,5.52,7.715
rice,Karnataka,899.0,32.7,83.8,6.04,132.2,3.41,9.204
wheat,AP,1057.2,10.6,36.8,7.01,175.2,13.5,7.923
soybean,Telangana,1238.2,30.5,48.7,7.07,136.1,12.31,5.344
soybean,Maharashtra,1405.3,26.6,65.4,7.23,111.7,8.13,5.151
groundnut,Punjab,673.0,27.1,83.7,6.81,73.2,5.38,3.578
tomato,Karnataka,927.0,24.0,42.6,6.33,257.9,14.95,60.946
wheat,Maharashtra,944.2,11.1,55.4,6.05,105.8,13.09,6.773
soybean,AP,1268.4,25.1,84.3,6.52,106.0,1.08,6.064
maize,AP,1225.3,27.3,53.2,6.85,210.1,4.51,12.854
cotton,AP,1421.1,28.2,70.3,7.25,130.5,2.41,4.983
soybean,AP,813.8,31.7,57.1,6.27,139.8,4.08,4.987
maize,Karnataka,945.3,27.7,39.0,6.23,179.3,6.17,9.836
maize,Punjab,1469.8,26.8,39.3,6.08,127.3,8.04,10.975
wheat,Punjab,1063.1,16.5,68.9,6.37,141.7,2.92,8.77
tomato,Telangana,1075.3,27.7,41.3,6.38,280.2,2.12,69.152
wheat,MP,445.7,18.0,36.7,7.4,83.9,7.06,4.629
rice,Maharashtra,849.9,23.9,30.3,6.98,196.5,14.3,8.773
wheat,Karnataka,1094.3,16.8,66.7,6.77,128.9,2.52,7.804
soybean,AP,769.5,28.8,83.0,6.23,96.4,4.2,4.99
rice,AP,1249.2,22.2,77.6,5.87,183.1,11.64,11.102
maize,Telangana,1100.6,34.1,61.7,6.79,186.7,5.55,11.755
wheat,AP,884.0,14.8,71.4,7.3,179.3,1.81,7.567
wheat,Karnataka,1012.2,23.9,78.3,6.66,170.1,5.1,9.19
tomato,Maharashtra,700.5,21.6,64.7,6.47,199.3,9.34,52.699
tomato,Telangana,877.2,24.5,62.3,6.17,152.2,2.94,53.912
groundnut,AP,1031.5,31.5,76.6,6.31,117.1,13.76,4.37
soybean,Punjab,1029.0,24.7,69.4,6.82,132.3,8.06,5.114
tomato,Maharashtra,406.1,25.8,81.0,6.85,186.5,1.37,50.291
wheat,MP,788.7,13.9,74.2,6.43,110.7,8.32,7.655
wheat,Punjab,974.1,16.0,58.7,7.47,162.3,2.29,7.229
soybean,Telangana,1110.6,23.1,74.3,7.44,113.8,8.48,4.837
tomato,AP,489.8,18.0,62.6,6.46,227.3,12.01,52.486
rice,Karnataka,1887.1,32.0,46.6,6.33,125.6,11.11,11.368
maize,Punjab,1171.4,32.1,53.3,6.72,135.0,2.72,10.926
rice,Karnataka,914.9,22.3,60.1,6.46,160.7,3.86,9.834
groundnut,Karnataka,916.1,31.5,68.2,6.98,68.2,6.36,3.721
rice,Maharashtra,1989.5,23.7,61.8,5.66,172.4,4.48,11.651
groundnut,Punjab,560.0,36.6,42.5,5.79,79.4,5.65,2.714
wheat,Punjab,1040.3,13.5,65.8,6.81,168.0,8.23,8.261
tomato,AP,666.4,26.0,60.7,6.99,249.3,11.09,54.836
maize,AP,1457.6,22.6,59.5,6.63,140.1,1.9,12.151
rice,Punjab,1217.1,30.6,42.9,6.69,192.7,6.29,10.639
rice,MP,1425.1,30.1,37.0,5.63,175.5,12.48,9.666
groundnut,Punjab,996.1,25.5,49.8,5.95,75.8,1.77,3.338
cotton,Maharashtra,957.3,31.7,80.6,7.2,121.3,7.71,4.495
groundnut,Punjab,1096.0,27.7,75.0,6.9,67.0,6.02,3.896
maize,MP,580.9,26.0,49.0,6.01,189.5,14.65,9.608
wheat,Telangana,860.1,17.2,37.7,6.47,140.6,13.52,7.029
cotton,Telangana,1342.7,35.0,57.8,6.24,118.3,3.87,4.963
tomato,Punjab,1021.4,19.5,78.2,6.39,290.5,4.53,75.949
soybean,Maharashtra,947.8,26.8,56.7,6.29,94.8,11.44,4.638
soybean,Telangana,987.3,22.0,44.6,6.11,134.8,3.08,4.931
maize,Telangana,732.6,23.3,76.6,6.01,185.6,11.0,11.416
tomato,Punjab,723.8,25.8,56.5,6.03,228.8,3.06,55.461
soybean,AP,720.4,25.0,67.5,7.19,120.8,3.25,4.388
tomato,Telangana,658.8,28.0,33.6,6.44,179.8,1.12,45.183
cotton,Karnataka,1359.9,26.5,47.9,6.98,92.0,11.19,4.111
cotton,Telangana,1152.7,37.9,37.3,6.78,156.5,1.98,4.577
wheat,Punjab,461.1,14.2,73.0,7.4,105.3,12.46,5.73
soybean,AP,947.7,25.4,54.8,6.34,142.3,13.3,5.077
rice,Maharashtra,1590.8,32.4,58.0,5.66,103.6,6.12,9.13
soybean,MP,1492.4,31.6,49.5,7.41,134.9,6.48,5.329
wheat,MP,466.1,17.7,42.5,7.35,158.2,14.65,5.817
soybean,AP,609.4,23.1,82.8,6.39,84.8,7.43,4.505
maize,Punjab,974.3,21.7,58.6,6.38,212.0,9.44,12.471
wheat,Maharashtra,435.0,11.7,50.7,6.9,89.5,8.48,5.099
maize,MP,1428.3,30.1,84.6,6.4,121.3,10.24,12.707
groundnut,Telangana,680.9,32.1,83.8,6.45,73.3,11.35,3.491
cotton,MP,1277.9,29.0,35.9,7.08,138.2,10.44,4.345
maize,Maharashtra,1465.1,27.3,52.7,5.98,154.2,11.49,11.793
groundnut,Maharashtra,606.1,26.2,53.9,6.37,112.6,2.83,3.731
wheat,Telangana,993.4,23.2,78.4,6.42,99.4,10.03,8.366
groundnut,Maharashtra,631.6,29.6,30.3,6.68,93.3,11.53,2.906
groundnut,Punjab,1022.0,27.6,48.0,6.94,82.1,2.66,3.574
tomato,AP,694.6,23.4,62.6,6.58,282.9,6.18,63.893
tomato,MP,956.5,18.0,73.7,6.43,203.3,1.85,62.074
groundnut,Maharashtra,545.4,32.5,63.2,6.34,93.6,10.31,3.78
wheat,Maharashtra,615.9,22.4,33.2,6.75,87.7,5.35,5.845
soybean,Punjab,1065.5,25.3,53.9,6.22,103.0,1.78,5.011
maize,Telangana,1098.2,31.0,65.3,7.0,213.3,6.61,12.737
cotton,MP,1492.0,36.2,41.2,7.48,156.0,8.7,4.516
wheat,AP,532.2,20.5,68.4,6.88,138.6,13.98,6.748
tomato,Karnataka,769.4,23.8,68.8,6.15,290.6,9.65,66.69
groundnut,AP,1136.6,35.1,42.4,5.51,63.4,2.4,3.083
rice,Punjab,816.1,25.7,45.2,5.57,103.6,4.5,6.829
groundnut,AP,690.4,34.9,33.6,6.17,106.6,7.57,2.742
soybean,MP,1409.9,20.3,60.8,7.0,147.4,14.08,5.9
wheat,AP,735.0,13.9,44.1,7.1,178.1,9.99,6.97
cotton,Maharashtra,1474.8,34.1,38.3,6.7,89.1,3.77,4.111
wheat,Telangana,1080.5,18.4,77.3,6.79,91.5,10.98,7.763
rice,AP,898.1,28.0,82.0,6.23,116.6,12.82,9.377
wheat,AP,769.8,16.2,33.4,6.98,134.5,7.93,6.195
cotton,Telangana,781.2,28.9,71.6,6.33,106.4,8.03,4.528
tomato,MP,529.3,21.1,71.3,6.92,234.0,8.59,52.777
cotton,Punjab,1084.8,32.5,75.2,6.21,132.5,6.02,4.932
cotton,Karnataka,1468.0,28.1,73.6,7.05,103.0,8.88,5.108
soybean,MP,1079.7,21.9,47.4,7.04,135.5,12.93,4.909
cotton,Maharashtra,849.2,39.8,40.1,6.28,96.2,13.46,3.501
maize,MP,1115.3,21.3,57.8,6.86,200.4,14.52,12.051
soybean,Karnataka,1485.7,28.0,78.5,6.95,91.6,6.7,5.879
rice,Punjab,1868.3,23.0,77.2,6.6,118.7,12.38,13.394
wheat,MP,968.2,14.7,55.3,6.71,162.2,5.69,8.448
maize,MP,673.8,30.7,43.2,6.79,130.1,2.56,8.65
rice,Maharashtra,1340.4,31.7,49.4,6.48,162.1,12.7,11.05
cotton,Telangana,713.6,35.1,33.8,6.65,134.9,3.04,3.805
rice,Punjab,1072.6,32.9,68.2,5.92,164.3,7.93,9.518
cotton,Telangana,873.6,34.8,72.1,7.88,149.7,11.93,3.687
tomato,AP,920.6,28.5,51.4,5.5,175.4,6.0,45.634
groundnut,Maharashtra,788.9,35.4,53.2,6.22,61.1,0.89,2.95
groundnut,MP,1100.8,28.8,74.3,6.87,105.2,0.76,4.325
maize,Maharashtra,1372.8,21.7,35.3,6.64,174.1,4.01,11.302
rice,Punjab,1161.5,29.8,70.9,5.95,130.0,1.2,9.982
rice,Karnataka,1805.8,25.7,73.4,6.14,126.8,8.81,12.463
tomato,Karnataka,601.8,20.6,58.9,6.23,260.6,0.97,56.323
groundnut,Punjab,825.1,26.8,39.4,6.01,69.9,14.25,3.056
groundnut,Punjab,1052.2,33.3,42.9,6.51,67.9,11.91,3.483
rice,Telangana,1122.8,27.3,32.2,6.84,100.3,9.26,7.339
cotton,Maharashtra,849.1,39.6,40.8,6.66,118.6,9.36,3.752
tomato,Karnataka,404.4,18.1,35.9,5.83,155.5,5.41,35.769
tomato,Karnataka,857.6,24.2,51.8,5.94,289.8,1.76,59.047
cotton,Maharashtra,1056.7,38.1,84.6,6.99,136.2,2.41,4.892
groundnut,Karnataka,776.2,30.5,69.3,6.12,114.5,9.31,3.919
soybean,Punjab,1339.1,20.0,44.2,6.95,83.6,1.36,4.482
soybean,Punjab,1217.9,21.4,50.3,6.58,111.9,2.25,5.51
rice,Punjab,896.2,26.6,67.3,6.91,166.9,5.75,9.568
cotton,Karnataka,609.1,34.5,78.1,7.83,129.0,11.0,3.465
wheat,Telangana,955.9,18.0,52.0,6.67,88.4,13.7,6.6
groundnut,Telangana,651.2,31.1,51.3,6.73,64.0,12.85,2.961
rice,Karnataka,1834.1,29.7,54.8,5.84,138.4,8.9,10.734
rice,Maharashtra,1498.6,26.8,67.9,6.4,170.6,5.93,12.242
maize,Karnataka,1390.1,25.2,65.5,5.99,122.5,9.74,10.577
cotton,Maharashtra,968.7,29.7,50.1,7.35,128.5,3.66,3.867
maize,Telangana,640.6,27.3,83.0,5.83,170.5,6.07,10.275
cotton,MP,627.9,30.8,71.6,6.32,81.9,7.15,3.925
tomato,Karnataka,1164.7,21.8,75.5,6.83,240.4,14.77,69.033
tomato,Maharashtra,1168.9,22.7,59.8,6.08,201.1,2.74,63.837
groundnut,Karnataka,1083.6,30.7,40.7,5.95,75.6,1.34,3.64
groundnut,Punjab,664.5,35.8,62.1,6.32,69.9,15.0,3.317
maize,Maharashtra,1282.4,31.0,73.6,6.16,152.6,7.19,12.027
soybean,Karnataka,733.2,30.2,37.3,7.07,143.5,9.1,3.885
soybean,Punjab,634.2,29.0,67.4,6.82,84.0,7.27,4.451
wheat,Punjab,1175.7,24.2,71.5,6.77,89.4,7.63,7.808
cotton,Telangana,1106.4,31.6,49.9,7.21,153.5,11.02,4.012
tomato,MP,764.8,23.3,74.4,6.4,238.7,7.41,61.933
soybean,MP,830.4,20.4,70.4,7.46,95.5,11.56,3.939
groundnut,Karnataka,521.4,36.3,65.4,6.29,98.0,12.39,3.544
groundnut,Telangana,1055.4,37.9,34.9,5.8,119.7,0.53,3.234
cotton,Telangana,907.6,34.5,81.5,6.14,80.5,12.42,4.192
cotton,AP,694.0,31.0,67.8,7.45,102.4,0.86,3.54
cotton,Maharashtra,1094.2,34.5,30.3,7.15,135.8,1.96,3.938
rice,AP,1753.4,31.2,52.2,5.58,107.3,4.78,9.559
maize,AP,781.0,32.1,79.8,6.92,160.5,5.16,10.113
rice,MP,1974.8,29.8,36.8,6.04,164.8,13.39,11.303
soybean,MP,1008.6,29.9,58.9,6.83,124.6,7.22,4.882
soybean,MP,1107.0,21.4,52.1,7.38,130.4,2.8,4.37
wheat,AP,1059.0,20.8,35.7,6.41,120.2,3.24,7.435
groundnut,MP,1127.0,32.6,81.7,6.2,80.4,1.7,4.25
maize,Maharashtra,1326.7,21.9,61.4,6.48,206.7,13.65,13.687
groundnut,Punjab,972.6,26.5,81.2,5.56,93.9,12.74,3.711
soybean,AP,725.2,23.1,45.3,7.31,92.8,2.38,3.774
rice,Karnataka,1370.5,30.2,57.4,7.0,110.5,6.08,9.442
rice,Maharashtra,1349.2,24.7,32.9,6.05,137.0,11.63,9.456
soybean,AP,790.8,27.9,41.9,6.71,141.6,10.33,4.611
tomato,Karnataka,636.2,19.6,47.4,6.48,260.8,9.85,60.809
groundnut,Telangana,1123.2,28.7,36.1,6.05,63.5,7.98,3.11
maize,Karnataka,1188.0,23.6,69.0,6.89,203.8,14.26,12.99
maize,Karnataka,964.1,34.5,47.2,6.42,187.8,11.72,11.062
soybean,Telangana,1069.2,31.7,72.4,6.19,81.2,12.2,4.809
tomato,Telangana,1018.5,24.2,30.1,6.02,205.8,4.85,50.116
maize,Karnataka,1474.2,32.7,73.1,5.83,209.9,11.82,12.505
maize,Maharashtra,1210.1,34.1,33.3,6.52,167.3,10.24,10.621
maize,AP,1490.2,23.6,65.5,6.44,185.1,8.64,13.665
wheat,Punjab,895.8,23.4,45.2,7.27,111.5,14.73,6.433
maize,Punjab,1142.8,32.1,69.9,6.94,153.7,8.31,11.41
wheat,Telangana,1144.5,17.5,52.9,6.35,84.5,4.88,7.074
wheat,Karnataka,1159.3,24.4,71.8,6.93,172.9,8.43,9.036
cotton,MP,1377.6,32.2,37.5,7.8,133.9,14.93,3.573
wheat,Maharashtra,713.5,19.9,57.4,6.16,143.7,6.4,7.137
maize,Maharashtra,959.0,33.8,30.7,6.01,141.4,0.71,9.089
maize,Maharashtra,1232.1,25.3,82.4,6.64,159.5,14.52,13.441
groundnut,Punjab,673.1,33.3,61.1,6.5,69.8,11.69,3.33
groundnut,Punjab,508.5,25.1,42.6,6.04,115.6,9.7,2.954
wheat,Maharashtra,603.1,13.7,30.0,6.6,169.5,13.57,6.322
groundnut,Maharashtra,1168.4,31.4,64.9,6.27,88.9,1.82,3.767
rice,AP,1990.9,27.0,76.6,6.36,141.6,13.58,13.304
wheat,Karnataka,1179.5,10.4,42.6,7.26,155.2,14.37,7.332
rice,Karnataka,1317.7,31.3,47.9,6.34,142.8,12.68,9.822
tomato,Punjab,744.1,28.8,72.0,6.77,210.1,12.44,58.783
tomato,Karnataka,604.2,21.5,65.0,6.39,154.9,5.78,51.69
wheat,Maharashtra,805.5,16.1,48.3,7.22,163.6,10.56,7.038
cotton,AP,1388.3,33.1,32.1,6.56,114.0,2.35,4.704
groundnut,Telangana,500.0,30.4,83.5,6.28,63.3,3.78,3.127
cotton,Maharashtra,646.7,27.9,65.2,6.62,138.5,6.53,4.15
tomato,AP,642.3,21.9,40.0,6.57,272.5,5.88,59.953
rice,Maharashtra,1297.4,31.8,58.5,5.53,126.9,4.4,8.114
wheat,MP,612.3,19.0,71.7,6.44,151.4,1.99,8.354
maize,Telangana,1432.9,32.4,55.4,6.64,191.4,13.85,14.445
soybean,AP,1256.1,30.3,40.7,6.41,136.5,5.51,5.462
maize,Karnataka,1447.1,27.4,73.2,6.26,136.3,11.15,12.865
wheat,Telangana,420.2,22.6,83.4,6.02,150.4,6.85,7.279
cotton,MP,1091.8,39.5,69.5,6.1,120.4,13.01,4.364
tomato,MP,842.2,22.8,38.7,5.7,279.8,4.99,55.156
cotton,Telangana,1317.0,28.8,75.8,7.25,125.7,13.64,4.728
wheat,Punjab,939.2,10.8,46.9,6.82,108.8,5.62,6.233
rice,Punjab,1285.4,22.9,53.8,6.68,128.6,10.44,10.306
tomato,Maharashtra,445.3,22.5,66.9,6.92,246.3,9.67,52.689
groundnut,Karnataka,571.0,28.6,83.9,5.91,85.9,1.48,3.153
tomato,AP,543.5,29.6,70.6,5.67,210.5,10.72,45.393
maize,Maharashtra,1105.5,27.8,60.2,6.69,183.1,10.5,11.708
wheat,Maharashtra,876.3,12.6,53.7,7.39,86.8,10.59,5.527
wheat,MP,913.3,20.6,54.8,6.56,136.4,10.24,7.748
groundnut,Telangana,868.0,28.2,36.4,5.5,70.4,7.01,2.544
cotton,Karnataka,782.4,33.8,52.4,7.4,134.4,0.72,3.76
maize,Telangana,1042.0,34.1,63.9,6.06,192.6,11.22,11.848
wheat,AP,994.3,14.9,74.4,7.34,88.4,12.99,6.285
maize,Karnataka,1012.7,26.6,60.1,7.0,142.9,10.22,9.854
soybean,Telangana,1336.5,20.6,49.6,7.37,82.1,0.73,4.459
cotton,AP,656.3,31.9,67.0,7.47,128.5,1.68,3.735
cotton,Karnataka,1308.1,31.0,84.3,7.03,100.3,4.73,4.919
groundnut,AP,799.2,27.7,77.6,6.7,80.0,13.77,3.683
wheat,Maharashtra,910.4,22.5,37.9,6.75,133.5,11.87,7.423
